RID,datetime,idn,carrier,date,connection,arrival,delay_in_min,name
ak0229k2aaaz,06-05-22 7:30,597358,PKP SKM w Trójmieście Sp. z o.o.,06-05-22,Wejherowo - Gdańsk Śródmieście,8:035:00 AM,357,Gdańsk Zaspa
ak0229k29utf,06-05-22 7:30,597234,PKP SKM w Trójmieście Sp. z o.o.,06-05-22,Wejherowo - Gdańsk Śródmieście,8:2335:00 AM,0,Gdańsk Zaspa
hv73089042,06-05-22 7:30,597236,PKP SKM w Trójmieście Sp. z o.o.,06-05-22,Wejherowo - Gdańsk Śródmieście,8:34,0,Gdańsk Zaspa
tx2022oonp,06-05-22 7:30,935448,Koleje Mazowieckie,06-05-22,Sochaczew - Warszawa Główna,7:323:00 AM,47,Warszawa Włochy
us6000i8ew,06-05-22 7:30,99308/9  ,SKM Warszawa,06-05-22,Otwock - Pruszków,7:33,0,Warszawa Włochy
us6000i8en,06-05-22 7:30,93958/9  ,Koleje Mazowieckie,06-05-22,Warszawa Rembertów - Skierniewice,7:36,35,Warszawa Włochy
pr71361208,06-05-22 7:30,359404/5  ,Koleje Mazowieckie,06-05-22,Warszawa Wschodnia - Sochaczew,7:40,0,Warszawa Włochy
ci40070295,06-05-22 7:30,935306/7  ,Koleje Mazowieckie,06-05-22,Grodzisk Mazowiecki - Warszawa Wschodnia,7:435:00 AM,0,Warszawa Włochy
hv73089017,06-05-22 7:30,9354523/3  ,Koleje Mazowieckie,06-05-22,Teresin Niepokalanów - Warszawa Wschodnia,7:49,35,Warszawa Włochy
ak0229k1ulrk,06-05-22 7:30,995354/5  ,SKM Warszawa,06-05-22,Pruszków - Otwock,7:49,0,Warszawa Włochy
hv73089002,06-05-22 7:30,9383523/3  ,Koleje Mazowieckie,06-05-22,Skierniewice - Mińsk Mazowiecki,7:59,41,Warszawa Włochy
hv73088997,06-05-22 7:30,993350/35  ,SKM Warszawa,06-05-22,Warszawa Wschodnia - Pruszków,8:00,0,Warszawa Włochy
ci40070287,06-05-22 7:30,935408/9  ,Koleje Mazowieckie,06-05-22,Sochaczew - Warszawa Wschodnia,8:353:00 AM,35,Warszawa Włochy
